brand_tweet_id,brand_reply,customer_tweet_id,customer_text,raw_customer_text,full_thread_context,thread_depth,created_at
417604,@214644 Hi there! Please let us know which headset are you using.,417605,My usb headset will not automatically play system audio. I have to go into system settings to manually switch it. Any fix?,@AskPlayStation My usb headset will not automatically play system audio. I have to go into system settings to manually switch it. Any fix?,Customer: @AskPlayStation My usb headset will not automatically play system audio. I have to go into system settings to manually switch it. Any fix?,2,Tue Oct 10 03:51:57 +0000 2017
375439,"@205027 Hey there! Stay tuned to our blog for updates and news, here: https://t.co/m5Dsvg4b1P",375440,is there any plans on putting a 2   Terabyte hard drive in the PS4 any time soon?,@AskPlayStation is there any plans on putting a 2   Terabyte hard drive in the PS4 any time soon?,Customer: @AskPlayStation is there any plans on putting a 2   Terabyte hard drive in the PS4 any time soon?,2,Mon Oct 09 01:44:38 +0000 2017
1498967,@468041 You are welcome. Please check your DM's for further instructions.,1498965,Thanks! I cannot use my account - due to not knowing my current password and not having access to the email account anymore to change it.,@AskPlayStation Thanks! I cannot use my account - due to not knowing my current password and not having access to the email account anymore to change it.,"Customer: @AskPlayStation help! I need to change my billing bank card, but seem to be locked out as I don’t use the email I normally login in with.
Customer: @AskPlayStation Hi can you kindly help please to my question? Thankssss
Brand (AskPlayStation): @468041 Here to help! Please provide us with more details of this issue in order to assist you better.
Customer: @AskPlayStation Thanks! I cannot use my account - due to not knowing my current password and not having access to the email account anymore to change it.",5,Tue Oct 17 05:32:18 +0000 2017
310682,@190189 Thanks! Have you tried to uninstall and reinstall the app already?,310681,Using version 9.3.5.,@AskPlayStation Using version 9.3.5.,"Customer: @AskPlayStation what's up with the Vue app? Never had issues be4 but now app closes out unexpectedly or screen turns white.It's unwatchable.
Brand (AskPlayStation): @190189 We can help! What device are you using the Vue app from that continues to have this issue?
Customer: @AskPlayStation Hello thanks for the response. Using an IPad mini.
Brand (AskPlayStation): @190189 Thanks for the information! What version of iOS are you using on your iPad Mini?
Customer: @AskPlayStation Using version 9.3.5.",6,Mon Oct 09 01:07:36 +0000 2017
392740,@209012 Totally understand. Please follow us for further assistance.,392741,"My playstation account seems to be gone seeing as your support doesn't recognize it, can you do anything about that?","@AskPlayStation My playstation account seems to be gone seeing as your support doesn't recognize it, can you do anything about that?","Customer: @AskPlayStation My playstation account seems to be gone seeing as your support doesn't recognize it, can you do anything about that?",2,Mon Oct 09 16:57:03 +0000 2017
619842,@267125 Got it! Please  follow us via Twitter and let us know so we can send you a DM with further instructions. Thanks!,619844,"I encountered a problem with the two way verification mode. After I was asked to send an email to the Middle East HQ, am still waiting for it to be replied 6 months later. Poor customer care relationship https://t.co/ouuHRypAdG","@267126 @AskPlayStation @117014 I encountered a problem with the two way verification mode. After I was asked to send an email to the Middle East HQ, am still waiting for it to be replied 6 months later. Poor customer care relationship https://t.co/ouuHRypAdG","Customer: @267126 @AskPlayStation @117014 I encountered a problem with the two way verification mode. After I was asked to send an email to the Middle East HQ, am still waiting for it to be replied 6 months later. Poor customer care relationship https://t.co/ouuHRypAdG",2,Wed Nov 22 14:40:31 +0000 2017
410746,@212979 Hi. PSN is up and running. Do you have a PS3 or a PS4? Do you have a wired or a wireless connection? Do you see an error?,410747,Hey guys i'm having issues to log in psn it says that your servers are currently down! Can you help me out please?,@AskPlayStation Hey guys i'm having issues to log in psn it says that your servers are currently down! Can you help me out please?,Customer: @AskPlayStation Hey guys i'm having issues to log in psn it says that your servers are currently down! Can you help me out please?,2,Mon Oct 09 23:44:41 +0000 2017
659683,@277098 Oi! O conteúdo da PS Store é definido de maneira independente para cada região e está sujeito a mudanças a qualquer momento.,659685,"eu gostaria de obter a dlc cole's legacy do infamous second son, mas nao tem disponível na psn br, poderiam me dar uma dica?","@121984 eu gostaria de obter a dlc cole's legacy do infamous second son, mas nao tem disponível na psn br, poderiam me dar uma dica?","Customer: @121984 eu gostaria de obter a dlc cole's legacy do infamous second son, mas nao tem disponível na psn br, poderiam me dar uma dica?",2,Wed Nov 22 23:20:29 +0000 2017
1726495,@522153 Sorry to read that. Please check the information in the link and try again: https://t.co/TX6uWonWz2,1726497,my sonic forces retail copy that came packaged with a dlc code is giving me an invalid code error. Please help.,@AskPlayStation my sonic forces retail copy that came packaged with a dlc code is giving me an invalid code error. Please help.,Customer: @AskPlayStation my sonic forces retail copy that came packaged with a dlc code is giving me an invalid code error. Please help.,2,Tue Nov 07 05:25:05 +0000 2017
2656322,"@748930 Hi Aaron! Please follow us on Twitter and let us know once you do, so we can send you a DM.",2656323,I need help getting my primary access from a friend. My case number is 23013737.,@AskPlayStation I need help getting my primary access from a friend. My case number is 23013737.,Customer: @AskPlayStation I need help getting my primary access from a friend. My case number is 23013737.,2,Sun Nov 19 04:40:40 +0000 2017
